OrderID,Date,Product,Category,Region,Sales,Quantity
2001,2024-01-01,Laptop,Electronics,North,55000,1
2002,2024-01-02,Phone,Electronics,South,22000,1
2003,2024-01-03,Tablet,Electronics,West,18000,1
2004,2024-01-04,Headphones,Electronics,East,3500,2
2005,2024-01-05,Chair,Furniture,North,5200,2
2006,2024-01-06,Table,Furniture,South,8700,1
2007,2024-01-07,Sofa,Furniture,West,26000,1
2008,2024-01-08,Bookshelf,Furniture,East,9000,1
2009,2024-01-09,Laptop,Electronics,North,57000,1
2010,2024-01-10,Phone,Electronics,South,24000,1
2011,2024-01-11,Tablet,Electronics,West,19000,1
2012,2024-01-12,Headphones,Electronics,East,3700,2
2013,2024-01-13,Chair,Furniture,North,5400,2
2014,2024-01-14,Table,Furniture,South,8900,1
2015,2024-01-15,Sofa,Furniture,West,27000,1
2016,2024-01-16,Bookshelf,Furniture,East,9200,1
2017,2024-01-17,Laptop,Electronics,North,59000,1
2018,2024-01-18,Phone,Electronics,South,25000,1
2019,2024-01-19,Tablet,Electronics,West,20000,1
2020,2024-01-20,Headphones,Electronics,East,3800,2
2021,2024-01-21,Chair,Furniture,North,5600,2
2022,2024-01-22,Table,Furniture,South,9100,1
2023,2024-01-23,Sofa,Furniture,West,28000,1
2024,2024-01-24,Bookshelf,Furniture,East,9400,1