OrderID,Date,Product,Category,Price,Quantity,Region
4001,2024-01-02,Lipstick,Makeup,1200,2,North
4002,2024-01-05,Foundation,Makeup,1800,1,South
4003,2024-01-08,Face Wash,Skincare,700,3,West
4004,2024-01-12,Moisturizer,Skincare,950,2,East
4005,2024-01-15,Perfume,Fragrance,2500,1,North
4006,2024-02-03,Lipstick,Makeup,1250,2,South
4007,2024-02-06,Foundation,Makeup,1850,1,West
4008,2024-02-10,Face Wash,Skincare,720,3,East
4009,2024-02-14,Moisturizer,Skincare,980,2,North
4010,2024-02-18,Perfume,Fragrance,2600,1,South
4011,2024-03-02,Lipstick,Makeup,1300,2,West
4012,2024-03-05,Foundation,Makeup,1900,1,East
4013,2024-03-09,Face Wash,Skincare,750,3,North
4014,2024-03-13,Moisturizer,Skincare,1000,2,South
4015,2024-03-17,Perfume,Fragrance,2700,1,West
4016,2024-04-04,Lipstick,Makeup,1350,2,East
4017,2024-04-07,Foundation,Makeup,1950,1,North
4018,2024-04-11,Face Wash,Skincare,780,3,South
4019,2024-04-15,Moisturizer,Skincare,1050,2,West
4020,2024-04-19,Perfume,Fragrance,2800,1,East
4021,2024-05-03,Lipstick,Makeup,1400,2,North
4022,2024-05-06,Foundation,Makeup,2000,1,South
4023,2024-05-10,Face Wash,Skincare,800,3,West
4024,2024-05-14,Moisturizer,Skincare,1100,2,East
4025,2024-05-18,Perfume,Fragrance,2900,1,North